time_s,adc_23,adc_21,adc_19,adc_17,adc_15
36.24763584136963,12,11,11,11,10
36.24772715568543,12,11,11,11,10
36.24781966209412,13,11,11,11,11
36.24791145324707,12,11,11,11,11
36.24800229072571,12,11,11,11,10
36.24810266494751,12,11,11,11,73
36.248181104660034,11,29,25,7,23
36.24827289581299,34,16,2,41,11
36.24835991859436,9,11,0,31,22
36.248459577560425,33,0,21,122,13
36.2485511302948,22,73,5,173,65
36.24862885475159,7,5,9,183,0
36.24872875213623,6,27,55,93,10
36.24881029129028,5,7,5,37,4
36.24891614913941,10,15,10,94,18
36.24900770187378,6,61,110,73,10
36.24908757209778,6,7,2,11,5
36.2491946220398,25,28,100,67,0
36.24927377700806,10,7,3,16,14
36.249370098114014,23,11,3,10,25
36.24947905540466,13,13,8,143,61
36.249547243118286,9,35,1,65,10
36.249634742736816,15,7,6,22,9
36.249722480773926,10,9,4,1,4
36.24982142448425,57,32,16,6,9
36.24991774559021,37,13,45,11,9
36.25000309944153,5,25,32,5,14
36.25009512901306,15,12,15,9,6
36.250263690948486,19,13,16,16,26
36.25034475326538,63,29,15,53,14
36.25041890144348,19,12,16,89,2
36.25049304962158,30,11,13,1,11
36.25056338310242,13,27,9,13,9
36.25067329406738,47,10,17,13,11
36.25076079368591,11,10,32,15,10
36.25084710121155,19,15,2,11,12
36.25093913078308,11,16,7,13,13
36.251028060913086,51,10,18,50,6
36.25111508369446,89,11,8,10,9
36.25121259689331,18,13,5,8,22
36.251293897628784,61,9,1,0,11
36.25138831138611,24,9,14,13,7
36.25148916244507,7,24,59,12,5
36.2515721321106,4,11,8,19,17
