time_s,adc_23,adc_21,adc_19,adc_17,adc_15
53.70355129241944,12,11,11,11,10
53.70365071296692,15,10,128,14,139
53.70373010635376,43,61,49,8,21
53.7038209438324,29,25,45,7,41
53.70391488075256,1,14,1,11,61
53.70400834083557,12,8,42,30,101
53.70410132408142,0,29,56,35,95
53.70418810844421,50,3,25,14,33
53.70427942276001,6,14,27,16,11
53.70436906814575,37,4,27,24,18
53.70446801185608,236,7,5,5,8
53.70455384254456,11,12,9,25,45
53.70464015007019,0,29,5,15,10
53.704740047454834,26,13,58,118,6
53.70482325553894,53,5,32,8,16
53.704914569854736,0,24,11,8,9
53.70500564575195,1,16,6,101,1
53.70509696006775,27,4,11,96,2
53.70518374443054,20,10,4,7,6
53.70527505874634,6,7,17,31,5
53.70536255836487,9,15,9,9,7
53.705480098724365,11,10,14,10,30
53.70555663108826,15,13,16,13,2
53.70564031600952,15,8,6,10,5
53.70573353767395,10,8,9,15,6
53.70582723617554,16,11,14,9,9
53.70592975616455,13,12,18,12,10
53.70600891113281,16,10,15,8,8
53.70610427856445,16,11,4,16,10
53.7061870098114,9,9,13,11,7
53.70628190040589,3,15,12,11,9
53.706369400024414,10,11,2,9,1
53.70646405220032,11,8,7,5,9
53.70655584335327,11,12,8,11,8
53.706650495529175,12,8,14,16,10
53.70674228668213,16,14,12,10,3
53.706838607788086,9,8,2,11,7
53.70691752433777,13,9,3,8,8
53.70701599121094,11,12,10,11,9
53.7070996761322,11,9,6,10,6
53.70719027519226,11,8,10,7,4
53.70728516578674,13,9,4,100,0
53.70737290382385,15,11,9,8,0
