time_s,adc_23,adc_21,adc_19,adc_17,adc_15
0.0005729198455810547,11,14,12,11,12
0.0008935928344726562,13,10,9,12,12
0.0010612010955810547,11,10,12,11,10
0.001214742660522461,13,12,11,9,11
0.0013785362243652344,12,13,11,13,12
0.0015234947204589844,12,12,12,9,9
0.0016791820526123047,11,10,11,8,10
0.001840353012084961,12,13,12,10,9
0.001953601837158203,11,10,10,10,11
0.002073526382446289,13,11,12,12,11
0.0021758079528808594,13,13,10,10,10
0.0022742748260498047,12,10,12,10,10
0.002372264862060547,12,13,10,10,11
0.0024645328521728516,12,10,13,10,9
0.002579927444458008,12,10,10,12,9
0.002675771713256836,11,11,10,8,10
0.0028104782104492188,12,10,11,10,11
0.002907276153564453,12,11,12,9,11
0.003006458282470703,12,10,11,11,11
0.003098011016845703,11,12,12,10,9
0.0031964778900146484,13,11,10,11,11
0.0032935142517089844,11,12,12,10,12
0.003391265869140625,14,12,11,11,12
0.003488302230834961,11,12,14,11,10
0.0035855770111083984,12,11,13,12,12
0.0036773681640625,12,11,11,10,8
0.00394129753112793,14,11,10,9,12
0.004054069519042969,13,11,9,11,12
0.004154682159423828,12,12,11,10,10
0.004257678985595703,12,10,10,11,12
0.0043506622314453125,11,13,13,11,9
0.004442930221557617,13,10,9,11,10
0.004537343978881836,12,10,9,10,11
0.0046427249908447266,13,10,10,11,9
0.0047359466552734375,12,13,9,10,14
0.004841804504394531,11,10,12,11,8
0.0049402713775634766,11,12,14,10,12
0.005037546157836914,13,11,10,10,12
0.00513458251953125,13,12,12,11,11
0.005232334136962891,12,11,11,12,12
0.005329608917236328,12,13,12,12,11
0.0054264068603515625,13,13,11,10,12
0.005517482757568359,13,14,13,9,11
0.005614757537841797,13,11,12,12,13
0.005711793899536133,10,13,12,11,10
0.0058171749114990234,13,10,12,11,13
0.005914449691772461,13,13,13,11,10
0.006010532379150391,12,10,11,12,11
0.006101846694946289,12,12,10,11,8
0.006192684173583984,11,12,11,10,9
0.006289482116699219,12,13,12,11,10
0.006380319595336914,13,13,11,10,8
0.0064775943756103516,11,11,10,12,12
0.0065631866455078125,13,11,14,9,9
0.006659746170043945,14,13,10,11,13
0.0067598819732666016,11,13,10,10,9
0.0068509578704833984,12,14,13,10,9
0.006947755813598633,12,10,12,12,10
0.007044553756713867,13,13,12,10,10
0.007145404815673828,12,11,11,11,11
0.007246255874633789,11,14,11,10,8
0.007343769073486328,12,10,12,10,13
0.007441520690917969,11,12,10,11,12
0.007538795471191406,13,10,11,10,12
0.007631063461303711,13,13,12,10,8
0.007723569869995117,12,13,12,10,9
0.00782632827758789,13,14,12,9,10
0.007923126220703125,11,13,11,11,11
0.008020162582397461,13,13,10,11,12
0.008116722106933594,13,13,12,11,12
0.008213520050048828,14,11,10,10,12
0.008304119110107422,14,12,11,11,9
0.008400678634643555,12,12,11,11,10
0.00849151611328125,13,13,11,9,11
0.008582830429077148,13,11,11,11,9
0.00867915153503418,12,10,11,12,12
0.008790016174316406,12,12,12,10,10
0.008882284164428711,13,12,11,9,13
0.008974313735961914,13,13,11,11,9
0.00907135009765625,12,11,11,10,13
0.00916910171508789,11,10,10,11,10
0.009265661239624023,13,10,12,12,10
0.009356975555419922,12,13,10,9,11
0.009448528289794922,12,10,11,9,10
0.00953984260559082,13,13,10,9,11
0.009636402130126953,13,12,12,11,12
0.00973367691040039,13,12,10,12,11
0.009838104248046875,12,13,11,10,11
0.009935140609741211,13,11,10,10,10
0.010031938552856445,13,11,12,10,11
0.01012873649597168,11,12,11,10,11
0.010229349136352539,11,11,10,10,11
0.01032710075378418,11,10,11,10,10
0.01042485237121582,13,13,12,11,11
0.010522127151489258,12,13,11,10,10
0.010618925094604492,11,11,12,11,11
0.010715723037719727,13,11,11,12,11
0.010819673538208008,13,12,12,10,13
0.010917186737060547,11,11,11,11,10
0.01101374626159668,10,11,11,10,12
0.011110305786132812,11,11,11,11,10
0.011206626892089844,11,12,11,11,10
0.011302709579467773,12,12,11,12,12
0.011399269104003906,13,13,12,10,10
0.011490345001220703,12,13,11,10,9
0.011569499969482422,11,13,9,9,9
0.011666536331176758,11,10,13,12,11
0.011764287948608398,14,11,8,10,10
0.011861562728881836,11,11,12,10,12
0.011958599090576172,12,10,10,10,12
0.012049436569213867,11,11,10,10,8
0.012140035629272461,12,12,10,10,9
0.012230634689331055,13,11,10,10,9
0.012326955795288086,14,10,14,10,13
0.012411832809448242,13,23,9,15,8
0.012508630752563477,10,13,12,11,11
0.012600183486938477,11,13,11,10,9
0.012691020965576172,11,11,9,10,11
0.012794971466064453,11,12,13,11,13
0.01288604736328125,10,11,9,11,11
0.012977838516235352,12,10,13,9,12
0.013069391250610352,11,13,13,11,8
0.013154745101928711,14,11,9,11,9
0.01324772834777832,11,13,10,11,9
0.013333797454833984,12,13,9,10,8
0.01343083381652832,11,13,12,10,10
0.01352238655090332,11,11,12,11,8
0.013619422912597656,14,12,11,12,10
0.013710737228393555,11,13,10,12,7
0.01380300521850586,11,10,10,9,8
0.013894319534301758,12,12,12,9,12
0.013992786407470703,11,12,10,10,10
0.014078378677368164,11,9,9,11,12
0.014169454574584961,11,14,13,9,11
0.014260530471801758,11,11,13,12,7
0.01434016227722168,11,9,12,9,9
0.014425277709960938,13,9,10,7,10
0.014510154724121094,12,13,10,9,9
0.01459503173828125,11,9,12,9,10
0.014676332473754883,13,9,10,12,11
0.014768362045288086,13,11,12,11,12
0.014844417572021484,11,13,10,9,9
0.014925718307495117,12,9,11,12,10
0.01500701904296875,12,11,12,11,9
0.015093803405761719,12,11,10,10,10
0.015180110931396484,12,12,11,10,11
0.015261650085449219,11,11,9,11,10
0.015347957611083984,11,10,11,11,12
0.015434503555297852,10,10,11,11,13
0.015520811080932617,12,11,11,10,11
0.015605926513671875,10,10,10,11,11
0.01567864418029785,14,12,11,10,8
0.015757322311401367,10,11,11,10,9
0.015834569931030273,11,10,10,10,11
0.015910863876342773,13,12,10,10,8
0.01598811149597168,11,13,11,11,11
0.016062259674072266,11,11,11,11,9
0.016132831573486328,10,10,11,9,9
0.016202211380004883,10,12,9,9,11
0.016276121139526367,12,10,9,12,10
0.01635432243347168,12,12,11,12,10
0.016431570053100586,10,11,11,10,10
0.016509532928466797,10,11,11,10,10
0.016587018966674805,11,11,11,10,11
0.01665782928466797,13,12,10,11,11
0.016723155975341797,13,12,10,12,9
0.016791343688964844,10,10,10,9,9
0.016852855682373047,12,10,9,10,9
0.016913890838623047,11,10,10,9,9
0.016979217529296875,13,12,8,10,10
0.017044782638549805,11,10,8,10,11
0.017110109329223633,12,12,8,10,10
0.01717662811279297,13,12,12,10,9
0.017246723175048828,12,11,12,10,10
0.017312288284301758,12,12,12,10,9
0.017377853393554688,13,10,11,11,9
0.017439603805541992,13,11,9,11,8
0.01750922203063965,10,13,10,12,11
0.01757049560546875,13,10,9,10,9
0.017635822296142578,11,12,10,11,9
0.01769709587097168,12,12,9,11,12
0.017764568328857422,10,12,13,11,11
0.017824411392211914,13,11,11,9,11
0.0178835391998291,12,10,12,9,12
0.01794719696044922,11,13,11,11,10
0.018010616302490234,12,11,12,10,12
0.018069028854370117,9,13,12,10,9
0.01812458038330078,10,13,9,10,7
0.018184185028076172,11,13,10,11,9
0.018246889114379883,10,12,12,10,10
0.018306493759155273,12,13,12,10,7
0.018361806869506836,10,13,8,10,7
0.0184175968170166,13,9,11,10,9
0.018473148345947266,13,12,8,12,8
0.018532752990722656,12,11,10,12,8
0.01859569549560547,12,13,11,11,12
0.018658876419067383,11,12,13,11,11
0.018721818923950195,12,10,10,10,12
0.018781661987304688,11,9,11,11,7
0.0188448429107666,12,11,10,11,12
0.018901348114013672,11,10,10,9,9
0.018964529037475586,10,13,11,10,11
0.019023895263671875,10,13,10,10,7
0.019086837768554688,11,12,12,10,11
0.019146203994750977,11,9,10,11,12
0.01920938491821289,10,14,10,10,13
0.019272565841674805,13,11,12,10,12
0.01932835578918457,13,13,10,9,9
0.019391298294067383,12,10,13,10,11
0.019454479217529297,11,11,10,11,13
0.019513845443725586,13,12,11,11,8
0.0195772647857666,13,10,10,10,11
0.019637107849121094,11,10,12,11,9
0.01970052719116211,11,13,12,11,11
0.01976466178894043,13,12,9,10,12
0.019820451736450195,11,12,9,9,12
0.019884347915649414,11,14,10,11,10
0.01994776725769043,13,14,10,11,12
0.020006179809570312,12,12,12,9,9
0.020061969757080078,12,11,11,8,9
0.020125389099121094,11,11,11,11,12
0.020188570022583008,11,11,12,11,11
0.020244836807250977,11,9,12,11,9
0.020300626754760742,11,9,11,12,9
0.02036428451538086,11,10,11,11,10
0.02042412757873535,11,11,11,9,11
0.020483732223510742,11,11,11,9,12
0.020543575286865234,11,13,11,12,9
0.020603179931640625,11,9,12,10,11
0.02066659927368164,12,10,12,12,11
0.020722389221191406,13,12,11,8,9
0.02079033851623535,13,11,11,11,12
0.020850181579589844,13,10,11,12,8
0.020909786224365234,11,11,9,10,12
0.02097320556640625,12,11,12,10,11
0.021036863327026367,11,11,11,11,11
0.021100282669067383,11,10,11,11,11
0.0211637020111084,13,11,11,11,11
0.021227121353149414,13,12,12,10,10
0.02129054069519043,12,10,11,11,11
0.02135014533996582,13,12,11,9,10
0.021413564682006836,12,11,13,12,12
0.021477460861206055,12,11,11,12,11
