time_s,adc_23,adc_21,adc_19,adc_17,adc_15
0.0004966259002685547,8,11,13,11,10
0.000762939453125,12,10,11,11,8
0.0009179115295410156,13,11,10,11,12
0.0010271072387695312,15,11,10,8,12
0.0011341571807861328,10,11,12,8,12
0.0012483596801757812,12,12,10,12,10
0.0013709068298339844,12,11,9,10,11
0.0014848709106445312,10,11,12,11,10
0.0015785694122314453,13,11,11,8,10
0.0016717910766601562,10,11,13,13,8
0.001764535903930664,14,10,10,13,9
0.0018727779388427734,14,9,11,13,8
0.0019881725311279297,9,10,7,8,10
0.002084016799926758,9,13,9,11,11
0.0021758079528808594,12,12,10,8,8
0.0022563934326171875,11,12,9,8,9
0.002359628677368164,14,10,13,11,8
0.0024597644805908203,14,10,11,11,11
0.002560138702392578,14,12,10,12,12
0.0026526451110839844,10,11,11,10,9
0.0027463436126708984,10,12,11,13,8
0.002845287322998047,10,11,13,11,12
0.002938985824584961,11,12,10,12,8
0.0030286312103271484,8,11,13,10,9
0.003121614456176758,14,13,10,12,8
0.0032050609588623047,9,10,8,9,11
0.0034742355346679688,15,11,12,11,9
0.0035774707794189453,13,12,10,10,10
0.003670215606689453,9,12,12,12,12
0.003774881362915039,10,12,11,12,11
0.0038678646087646484,10,11,11,11,9
0.003968000411987305,14,11,10,12,10
0.004065036773681641,10,11,9,11,10
0.004168272018432617,13,12,11,12,10
0.004254579544067383,8,12,9,10,12
0.004347801208496094,12,12,8,10,9
0.004446744918823242,10,12,10,13,12
0.004538536071777344,14,12,10,11,9
0.00463104248046875,11,11,13,10,8
0.0047223567962646484,11,11,9,14,13
0.004817962646484375,13,12,10,10,8
0.004912137985229492,14,12,10,11,8
0.005013465881347656,13,14,12,13,10
0.0051000118255615234,11,9,10,8,13
0.005198478698730469,12,10,12,10,12
0.005296945571899414,13,13,10,12,11
0.005403280258178711,12,11,11,12,10
0.005501747131347656,13,12,11,10,10
0.0055997371673583984,11,11,12,11,11
0.0056912899017333984,11,9,11,10,12
0.0057830810546875,11,12,10,12,8
0.005880832672119141,11,14,11,11,13
0.005979061126708984,13,14,11,12,12
0.006076335906982422,11,13,10,10,12
0.0061686038970947266,11,12,12,8,11
0.0062601566314697266,12,12,11,12,8
0.006363630294799805,12,14,11,12,8
0.00646662712097168,14,11,13,11,13
0.006552696228027344,9,11,14,9,14
